characters,clean_text
s f ḫ w f k ꜣ n ꞽ w n ꞽ s p n m š d w ꜣ t ꞽ,sfḫw f kꜣ nꞽ wnꞽs pn m š dwꜣtꞽ
m ꞽ t r t ꞽ p p,mꞽtrt ꞽpp
b ḥ d t ꞽ,bḥdtꞽ
k ꜣ n w,kꜣnw
z ꜣ f s m s w z ꜣ b z ẖ ꜣ w ꞽ r n ꜣ ḫ t ꞽ,zꜣ f smsw zꜣb zẖꜣw ꞽr n ꜣḫtꞽ
h ꜣ p p y p w,hꜣ ppy pw
ḥ r w ḏ r,ḥrw ḏr
z ꜣ t n s w t ẖ k r t n s w t n b t ꞽ m ꜣ ḫ ḫ r n ṯ r ꜥ ꜣ n n s ḏ r k ꜣ ꞽ,zꜣt nswt ẖkrt nswt nbt ꞽmꜣḫ ḫr nṯr ꜥꜣ nn sḏr kꜣ ꞽ
ꞽ r p r i ̯ m ꜣ t n f m ꜥ f ꞽ r i ̯ f s p š p t k ḥ r f ḫ n m s s w r ʾ p w m ꞽ ṯ i ̯ w ḥ r,ꞽr pri̯ mꜣtn f m ꜥ f ꞽri̯ f sp špt k ḥr f ḫnms sw rʾ pw m ꞽṯi̯w ḥr
ꞽ ṯ ḥ n ꞽ d b w t p ꞽ ꞽ m ꜣ m f,ꞽ ṯḥn ꞽdbw tpꞽ ꞽmꜣm f
ꞽ w f k ꞽ w f n ꞽ w n ꞽ s p n,ꞽwf k ꞽwf nꞽ wnꞽs pn
n z w b ꞽ t ꞽ ḫ ꜣ s t ꞽ,nzw bꞽtꞽ ḫꜣstꞽ
w t ꞽ m ꜣ ꞽ s ḫ m w,wtꞽ mꜣꞽ sḫmw
w r m ḏ š m ꜥ w ꞽ r ꞽ ꞽ ḫ t n s w t ẖ r ꞽ ḥ ꜣ b t s m r w ꜥ t ꞽ m r ꞽ b,wr mḏ šmꜥw ꞽrꞽ ꞽḫt nswt ẖrꞽ ḥꜣbt smr wꜥtꞽ mr ꞽb
ḥ t p ẖ n m w,ḥtp ẖnmw
g r g t s š m n f r,grgt sšm nfr
ꞽ n i ̯ t n ḏ t ḥ r n ꞽ t n ʾ t n ꞽ w t p r ḏ t,ꞽni̯t nḏt ḥr nꞽt nʾt nꞽwt pr ḏt
ꞽ w ꞽ m ꞽ ꜣ w t f ꜥ ꜣ t n ꞽ t ḏ ḏ r ꜥ z ꜣ m n ḫ m s i ̯ m s i ̯ s w,ꞽw ꞽ m ꞽꜣwt f ꜥꜣt nꞽt ḏḏ rꜥ zꜣ mnḫ msi̯ msi̯ sw
m m r i ̯ ṯ n ḥ s i ̯ ṯ n n ṯ r ṯ n n ʾ t ꞽ w s w ꜣ i ̯ t ꞽ f ꞽ n b ḥ r w ḏ p n m ꞽ ḏ d ṯ n,m mri̯ ṯn ḥsi̯ ṯn nṯr ṯn nʾtꞽw swꜣi̯tꞽ fꞽ nb ḥr wḏ pn mꞽ ḏd ṯn
p ꜣ ꞽ s p w p r r ꞽ n i ̯ f s w r f,pꜣ ꞽs pw prr ꞽni̯ f sw r f
w b n ṯ n ꞽ m ꜣ ḫ t m b w ꜣ ḫ n ṯ n ꞽ ꞽ m,wbn ṯnꞽ m ꜣḫt m bw ꜣḫn ṯnꞽ ꞽm
ḥ n q t p z n t ʾ ḫ ꜣ m n ḫ t ḫ ꜣ š s ḫ ꜣ,ḥnqt pzn tʾ ḫꜣ mnḫt ḫꜣ šs ḫꜣ
ḥ m s i ̯ w n ꞽ s m b ꜣ ḥ f,ḥmsi̯ wnꞽs m bꜣḥ f
d w ꜣ m n w ḥ r n ḫ t ꞽ n ꜣ ṯ w n ṯ t ḥ q ꜣ k m s m ꜣ ꜥ ḫ r w ꞽ r i ̯ n ꞽ m ꞽ ḫ t b m b w m ꜣ ꜥ ḫ r w m s i ̯ n n b t p r r n s n b m ꜣ ꜥ t ḫ r w ḏ d f,dwꜣ mnw ḥr nḫt ꞽn ꜣṯw n ṯt ḥqꜣ kms mꜣꜥ ḫrw ꞽri̯n ꞽmꞽ ḫt bmbw mꜣꜥ ḫrw msi̯n nbt pr rn snb mꜣꜥt ḫrw ḏd f
ḥ m ꜣ k ꜣ ꞽ,ḥmꜣ kꜣ ꞽ
ꞽ y n ḥ m f w s ḫ t n ꞽ t r ʾ p r p n m ḥ t ꞽ m m w,ꞽyn ḥm f wsḫt nꞽt rʾ pr pn mḥtꞽ m mw
d r w r m y t m ẖ t,dr wrmyt m ẖt
b w n f r,bw nfr
s n f s n ḏ m ꞽ b,sn f snḏm ꞽb
w s r w n ꞽ t,wsrw nꞽt
ḥ m y m s b n d p w t k,ḥmy m sbn dpwt k
w d p w ḫ n t y w r,wdpw ḫnty wr
ꜥ ḥ ꜥ n ꜣ w i ̯ n n f z ꜣ n s w t ḏ ḏ f ḥ r ꜥ f ꞽ,ꜥḥꜥn ꜣwi̯n n f zꜣ nswt ḏḏ f ḥr ꜥ fꞽ
t ꞽ w ꞽ w ꞽ r ḫ k w ꞽ ꞽ ꞽ t y ꜥ n ḫ w ḏ ꜣ s n b n b ꞽ,tꞽw ꞽw ꞽ rḫkwꞽ ꞽ ꞽty ꜥnḫ wḏꜣ snb nb ꞽ
h ꜣ g b b,hꜣ gbb
q r s t ꞽ s m z m y t,qrstꞽ s m zmyt
ḥ t p ḏ i ̯ n s w t ḥ t p ḏ i ̯ w s ꞽ r p r ḫ r w n f ḥ ꜣ t ꞽ ꜥ m ꜣ ꜥ ꞽ m ꞽ r ʾ k ꜣ t n b t n t n s w t m ḥ ꞽ ḏ d t n f ꞽ m ꜣ ḫ w f p t ḥ n b n f r t,ḥtp ḏi̯ nswt ḥtp ḏi̯ wsꞽr pr ḫrw n f ḥꜣtꞽ ꜥ mꜣꜥ ꞽmꞽ rʾ kꜣt nbt nt nswt mḥꞽ ḏdt n f ꞽmꜣḫw f ptḥ nb nfrt
m d w y k r ḫ n k w ḥ ꜥ k,mdwy k rḫ n k wḥꜥ k
w d i ̯ s s b ḥ ꜥ ꜣ w r t,wdi̯ s sbḥ ꜥꜣ wrt
m n k s n ṯ r k n ṯ r i ̯ k,m n k snṯr k nṯri̯ k
n š š n n n ꞽ r ꜥ,nšš nn nꞽ rꜥ
ḥ z m n k m ꜥ b š m s w ḥ r w,ḥzmn k m ꜥb šmsw ḥrw
w s ꞽ r w n ꞽ s m n k ꞽ r t ḥ r w ꞽ t ḥ t n f,wsꞽr wnꞽs m n k ꞽrt ḥrw ꞽtḥtn f
n f r ꞽ y ḥ r ḫ r w ꞽ,nfr ꞽy ḥr ḫrw ꞽ
h n y n w n ꞽ s ꞽ ṯ i ̯ n f ꜣ ḫ t,hny n wnꞽs ꞽṯi̯n f ꜣḫt
n t r k ꞽ g r ꞽ m,n tr k ꞽgr ꞽm
w ꜥ ḥ,wꜥḥ
p s ḏ t ꜥ ꜣ t w s ꞽ r p w p w n n ḏ i ̯ n ṯ n s ḏ b f ꜥ n ḫ f,psḏt ꜥꜣt wsꞽr pw pw nn ḏi̯n ṯn sḏb f ꜥnḫ f
w d i ̯ r s,wdi̯ r s
ḥ m k ꜣ w r b ꜣ w p t ḥ,ḥm kꜣ wr bꜣw ptḥ
n ḏ ṯ w p s ḏ t ꜥ ꜣ t r ḏ i ̯ n s n n k ḫ f t ꞽ k ẖ r k,nḏ ṯw psḏt ꜥꜣt rḏi̯n sn n k ḫftꞽ k ẖr k
q r s w m z m y t ꞽ m n t ꞽ t ꞽ ꜣ w i ̯ w w r t n f r m ꞽ m ꜣ ḫ w ḫ r n ṯ r ꜥ ꜣ ꞽ m ꞽ r ʾ m ḏ n w ꞽ ꜣ ꞽ m ꞽ r ʾ s t n p r ꜥ ꜣ d m g,qrsw m zmyt ꞽmntꞽt ꞽꜣwi̯w wrt nfr m ꞽmꜣḫw ḫr nṯr ꜥꜣ ꞽmꞽ rʾ mḏ n wꞽꜣ ꞽmꞽ rʾ st n pr ꜥꜣ dmg
ḥ m k ꜣ n f r š m m,ḥm kꜣ nfr šmm
s k ꜣ m z ḥ t,skꜣ m zḥt
ꞽ n m w t m w t ḥ n ꜥ ẖ r f,ꞽn mwt mwt ḥnꜥ ẖr f
r d i ̯ t ꞽ ꜣ w n w s ꞽ r ḫ n t ꞽ ꞽ m n t ꞽ w n b ꜣ b ḏ w m p r t ꜥ ꜣ t m ꜣ ꜣ n f r f m w ꜣ g ḥ r w ꜥ r t d d t ḥ t p t r s b ꜣ ꜥ ꜣ n h ꜣ k r p r r f ḥ r f r ḥ ꜣ b f n w ḏ t,rdi̯t ꞽꜣw n wsꞽr ḫntꞽ ꞽmntꞽw nb ꜣbḏw m prt ꜥꜣt mꜣꜣ nfr f m wꜣg ḥr wꜥrt ddt ḥtpt r sbꜣ ꜥꜣ n hꜣkr prr f ḥr f r ḥꜣb f nw ḏt
n ḏ r,nḏr
ḏ i ̯ n f n ḏ ṯ w n ṯ r,ḏi̯n f nḏ ṯw nṯr
ꞽ n h ꞽ,ꞽn hꞽ
ꜥ ḥ ꜥ n m z n s ꞽ m s ḫ n t r f,ꜥḥꜥn mzn sꞽ msḫnt r f
ꜥ ḥ ꜥ z ḫ n w r m w p i ̯ w ꜣ t m ḥ t ꞽ m ꜣ ḫ w k p r i ̯ t ꞽ m ꜣ ḫ t,ꜥḥꜥ zḫn wr m wpi̯ wꜣt mḥtꞽ m ꜣḫw k pri̯tꞽ m ꜣḫt
ꞽ w s ꞽ n n ḥ ꜣ b n f r,ꞽw s ꞽnn ḥꜣb nfr
r ꜥ w ꞽ m i ̯ ꜥ k n t t ꞽ,rꜥw ꞽmi̯ ꜥ k n ttꞽ
m n ḫ,mnḫ
ꜥ n ḫ k ꜣ ꞽ,ꜥnḫ kꜣ ꞽ
n š n m,nšnm
ꞽ w i ̯ n n m t ꞽ m z ꜣ f m r n r ꜥ w ḫ r k r ꜥ w ꞽ w i ̯ n n m t ꞽ m z ꜣ f m r n r ꜥ w ḫ r k n ḏ r f ẖ n i ̯ y f ṯ w s t p f z ꜣ ꞽ r k,ꞽwi̯n nmtꞽ m zꜣ f mrn rꜥw ḫr k rꜥw ꞽwi̯n nmtꞽ m zꜣ f mrn rꜥw ḫr k n ḏr f ẖni̯y f ṯw stp f zꜣ ꞽr k
r d i ̯ ḫ r k n h ꞽ ꞽ m r w ꜥ n t p ꜣ,rdi̯ḫr k nhꞽ ꞽm r wꜥ n tpꜣ
ẖ r ꞽ ḥ ꜣ b t p ꞽ p ꞽ ꞽ ꜣ m w,ẖrꞽ ḥꜣbt pꞽpꞽ ꞽꜣmw
p ꜣ s p r m ḏ d,pꜣ spr m ḏd
ꞽ w i ̯ n t t ꞽ ḫ r k n ḫ ḫ,ꞽwi̯n ttꞽ ḫr k nḫḫ
z ꞽ t ꞽ ḏ d k ḥ n ꜥ k ꜣ k,zꞽtꞽ ḏdk ḥnꜥ kꜣ k
ꞽ w n š z k d u ꞽ r š z w D U k,ꞽw nšz kdu ꞽr šzwDU k
m r i ̯ k ꜣ,mri̯ kꜣ
z ꜣ n s w t ḏ d f ḫ w i ̯ f w ꞽ,zꜣ nswt ḏd f ḫwi̯ f wꞽ
s m,sm
ḫ r p ꜥ ḥ ḫ r p p r n z w ḫ r p ḫ n m s w s t k ꜣ,ḫrp ꜥḥ ḫrp pr nzw ḫrp ḫnmsw st kꜣ
ḥ m n ṯ r ḏ d s t P L t t ꞽ ḫ n t ꞽ š s m r w ꜥ t ꞽ ẖ r ꞽ ḥ ꜣ b t w r ꞽ d t ḥ r ꞽ s š t ꜣ n ḥ k ꜣ ḥ t p n ꞽ p t ḥ,ḥm nṯr ḏd stPL ttꞽ ḫntꞽ š smr wꜥtꞽ ẖrꞽ ḥꜣbt wr ꞽdt ḥrꞽ sštꜣ n ḥkꜣ ḥtp n ꞽ ptḥ
ꞽ ḥ w s ṯ w ꞽ r ḥ r k p ꜣ ḫ s ṯ w ꞽ r ꞽ r t ꞽ k ꞽ ḫ r k m ḥ s k z b n k m w z š t k,ꞽḥw s ṯw ꞽr ḥr k pꜣḫ s ṯw ꞽr ꞽrtꞽ k ꞽḫr k m ḥs k zbn k m wzšt k
q r s w m z m y t ꞽ m n t ꞽ t ꞽ ꜣ w i ̯ w n f r w r t m n b ꞽ m ꜣ ḫ ḫ r n ṯ r ꜥ ꜣ ꞽ r ꞽ ꞽ ḫ t n s w t y w,qrsw m zmyt ꞽmntꞽt ꞽꜣwi̯w nfr wrt m nb ꞽmꜣḫ ḫr nṯr ꜥꜣ ꞽrꞽ ꞽḫt nswt yw
ꞽ p p w ḥ m ꜥ n ḫ n b ꞽ m ꜣ ḫ m s i ̯ n n b t p r r ʾ y m ꜣ ꜥ t ḫ r w n b t ꞽ m ꜣ ḫ,ꞽpp wḥm ꜥnḫ nb ꞽmꜣḫ msi̯n nbt pr rʾy mꜣꜥt ḫrw nbt ꞽmꜣḫ
ẖ n m s w ẖ n m t w r t w r p n ꞽ m ꞽ m s ṯ,ẖnm sw ẖnmt wrt wr pn ꞽmꞽ ms ṯ
š r m ṯ n f,šr mṯn f
ḫ s f w ꞽ z t k n t ꞽ ḫ m w s k ꞽ r ẖ n i ̯ t k ḫ s f k ꜣ s n ꞽ r r ḏ i ̯ t h ꜣ i ̯ y n m t ꞽ m z ꜣ f m r n r ꜥ w m w ꞽ ꜣ k p w,ḫsf w ꞽzt k nt ꞽḫmw sk ꞽr ẖni̯t k ḫsf k ꜣ sn ꞽr rḏi̯t hꜣi̯y nmtꞽ m zꜣ f mrn rꜥw m wꞽꜣ k pw
s n n b t ꞽ,sn nbtꞽ
m ḏ d ꜣ r n ꞽ,m ḏd ꜣ rn ꞽ
t ʾ ḥ n q t p z n ḫ ꜣ m n ḫ t ḫ ꜣ š s ḫ ꜣ,tʾ ḥnqt pzn ḫꜣ mnḫt ḫꜣ šs ḫꜣ
ḥ ꜥ ꜥ w n f ḥ n m m t m ꞽ w n w,ḥꜥꜥw n f ḥnmmt m ꞽwnw
ꞽ n t n b ꞽ,ꞽnt nbꞽ
f n d ḏ b ꜣ,fnd ḏbꜣ
n b s,nbs
s m r w ꜥ t ꞽ ẖ r ꞽ ḥ ꜣ b t ḥ r ꞽ t p ꜥ ꜣ n ꜣ t f t q h w ꞽ,smr wꜥtꞽ ẖrꞽ ḥꜣbt ḥrꞽ tp ꜥꜣ n ꜣtft qhwꞽ
ḥ q ꜣ ꜥ ꜣ t,ḥqꜣ ꜥꜣt
p n ꜥ ṯ w,pnꜥ ṯw
ḥ ꜣ b s d,ḥꜣb sd
ḏ d n z ẖ ꜣ w n ḫ n r t w r t ꞽ m n ḥ t p m ꞽ d n w z ẖ ꜣ w n w ḥ m w n w ꜥ r t m ḥ t ꞽ t,ḏd n zẖꜣw n ḫnrt wrt ꞽmn ḥtp m ꞽdnw zẖꜣw n wḥmw n wꜥrt mḥtꞽt
w s ꞽ r w n ꞽ s m n k ꞽ r t ḥ r w,wsꞽr wnꞽs m n k ꞽrt ḥrw
ꞽ r i ̯ f n k w ꜣ t p r i ̯ k ꞽ m s m ꜥ b n ṯ r ꜥ n ḫ t m b ꜣ k,ꞽri̯ f n k wꜣt pri̯ k ꞽm s m ꜥb nṯr ꜥnḫt m bꜣ k
ꜥ n t k ẖ r ꞽ n ꜥ t f,ꜥnt k ẖr ꞽnꜥt f
s p f t p ꞽ m s m n ḫ n ʾ t f,sp f tpꞽ m smnḫ nʾt f
ꞽ t m w s ꞽ ꜥ n k w n ꞽ s p n š n i ̯ n k s w m ẖ n w ꜥ k,ꞽtmw sꞽꜥ n k wnꞽs pn šni̯ n k sw m ẖnw ꜥ k
ꞽ r i ̯ n n f g b b m ꞽ q d ꞽ r i ̯ y n f ꞽ m,ꞽri̯n n f gbb mꞽ qd ꞽri̯y n f ꞽm
p r i ̯ n n ꜣ m ḫ t m ꜥ f,pri̯n nꜣ m ḫt m ꜥ f
ꞽ ꜥ b n ṯ w ꜣ s t,ꞽꜥbn ṯw ꜣst
ꞽ m ꞽ r ʾ p r w r p w s ḫ ꜣ y k,ꞽmꞽ rʾ pr wr pw sḫꜣy k
z ꞽ w n ꞽ s p n z ꞽ k,zꞽ wnꞽs pn zꞽ k
ḫ s f r r k ḥ ḏ k ꜣ,ḫsf rrk ḥḏ kꜣ
z ẖ ꜣ w ꜥ n n s w t k ꜣ ꞽ ḥ r s t f,zẖꜣw ꜥ n nswt kꜣ ꞽ ḥr st f
ꞽ n ḏ ḥ r k w s ꞽ r ḫ n t ꞽ ꞽ m n t ꞽ m h r w p n n f r ḫ ꜥ i ̯ n k ꞽ m f,ꞽnḏ ḥr k wsꞽr ḫntꞽ ꞽmntꞽ m hrw pn nfr ḫꜥi̯n k ꞽm f
ꞽ n k p w,ꞽnk pw
n g m i ̯ n ꞽ w w s n ḏ ꜣ t,n gmi̯n ꞽww sn ḏꜣt
n ꜥ m ꜥ m w ꜥ n t ḏ b ꜥ s n m s n f w ꞽ,n ꜥmꜥmw ꜥnt ḏbꜥ sn m snfw ꞽ
ꞽ n m ḫ ꜣ t p w,ꞽn mḫꜣt pw
ḥ r ꞽ w ḏ b m ḥ w t ꜥ n ḫ s š m n f r,ḥrꞽ wḏb m ḥwt ꜥnḫ sšm nfr
w s r w n ꞽ t m n k ꞽ r t ḥ r w m z ꜣ t n f,wsrw nꞽt m n k ꞽrt ḥrw mzꜣtn f
s n f š p s n s w t ꞽ q r ꞽ,sn f šps nswt ꞽqrꞽ
ẖ r s k ꞽ,ẖr skꞽ
ꞽ ꜥ i ̯ w ḫ r t w r m n ḫ,ꞽꜥi̯wḫr tw r mnḫ
r n m ꜣ ḥ ḏ,rn mꜣ ḥḏ
ꞽ w ꜣ,ꞽwꜣ
s t ꞽ h n n ꞽ t p f m ꞽ b k n n ꞽ ꜥ w t,stꞽ hn nꞽ tp f mꞽ bkn nꞽ ꜥwt
ꞽ t i ̯ w ꜥ w ꜣ n ḥ m w s r w ꞽ r i ̯ n t w r ḫ s f r ꞽ y t ꞽ b w p w n ꜣ d w s r w ꞽ r i ̯ n t w r ḫ s f r g r g,ꞽti̯w ꜥwꜣ nḥmw srw ꞽri̯n tw r ḫsf r ꞽyt ꞽbw pw n ꜣdw srw ꞽri̯n tw r ḫsf r grg
m ꜣ ꜣ t ḥ r w z ꜣ t n z w ḥ t p ḥ r n b t ꞽ,mꜣꜣt ḥrw zꜣt nzw ḥtp ḥr nbtꞽ
ꜥ ḥ ꜥ p p y p n ḥ r n s t k ḫ n t ꜥ n ḫ w,ꜥḥꜥ ppy pn ḥr nst k ḫnt ꜥnḫw
ꞽ r i ̯ y n f ḫ t ḫ ꜣ w m ḫ n t ḫ m,ꞽri̯y n f ḫt ḫꜣw m ḫnt ḫm
ꞽ n ꞽ b s ḫ p r n b f m s ḏ m m t m s ḏ m,ꞽn ꞽb sḫpr nb f m sḏm m tm sḏm
ꞽ š m k ꞽ r p g m i ̯ k ḫ s f k ꞽ m,ꞽšm k ꞽr p gmi̯ k ḫsf k ꞽm
n n s ḏ r s r s n k,nn sḏr srsn k
w n n m s n t ꞽ ꞽ m m n ṯ r ꜥ n ḫ ḥ r ḫ s f ꞽ w n ꞽ r r s w,wnn ms ntꞽ ꞽm m nṯr ꜥnḫ ḥr ḫsf ꞽw n ꞽrr sw
ḏ ḥ w t ꞽ ꞽ n i ̯ s w p ḏ p f,ḏḥwtꞽ ꞽni̯ sw pḏ pf
z ꜣ f ẖ r ꞽ ḥ ꜣ b t m r w,zꜣ f ẖrꞽ ḥꜣbt mrw
ꞽ n ꞽ w w s f w s p r y r ꜥ ḥ ꜥ r r ʾ n p r f,ꞽn ꞽw wsfw spry r ꜥḥꜥ r rʾ n pr f
š m s w d d ꞽ š r ꞽ m ꜣ ꜥ ḫ r w,šmsw ddꞽ šrꞽ mꜣꜥ ḫrw
ꞽ w r ḏ i ̯ n f ꜥ m s ḫ m w r ꞽ n s ꜣ ḥ ꞽ t ꞽ n ṯ r,ꞽw rḏi̯ n f ꜥ m sḫm wr ꞽn sꜣḥ ꞽtꞽ nṯr
z ꜣ t f n b t p r b b ꞽ m s i ̯ t n b b ꞽ,zꜣt f nbt pr bbꞽ msi̯tn bbꞽ
z ꜣ f m r y f ḥ q ꜣ ḥ w t s m r w ꜥ t ꞽ ꞽ b ꞽ,zꜣ f mry f ḥqꜣ ḥwt smr wꜥtꞽ ꞽbꞽ
h p ꜣ ṯ h n n z m n n w,hpꜣṯ hnn zmnnw
ḫ r p n b y,ḫrp nby
n p ḫ ꜣ n n š n n w ḥ ḏ w,n pḫꜣn nšnnw ḥḏw
q ꜣ i ̯ n b w t ꞽ m ḫ n t ꞽ t r t,qꜣi̯ nbwtꞽ m ḫnt ꞽtrt
ḥ ꜣ k n g ꜣ w n g ꜣ ḏ b ꜥ ꜣ k r m w p t f,ḥꜣ k ngꜣw ngꜣ ḏbꜥ ꜣkr m wpt f
ꞽ w r ṯ w p t ḥ n ꜥ s ꜣ ḥ m s i ̯ ṯ w d w ꜣ t ḥ n ꜥ s ꜣ ḥ,ꞽwr ṯw pt ḥnꜥ sꜣḥ msi̯ ṯw dwꜣt ḥnꜥ sꜣḥ
ḥ r w ꜥ ḏ ꞽ b,ḥrw ꜥḏ ꞽb
ꞽ n i ̯ n n k g b b ḥ r w ꞽ p f n k ꞽ b s n,ꞽni̯n n k gbb ḥrw ꞽp f n k ꞽb sn
b w t t t ꞽ n w n w n m f,bwt ttꞽ nw n wnm f
q n q n m ꞽ ḫ t w ꜥ t ḥ r ḫ p r ḏ s f n ꞽ b n r ꞽ w,qnqn m ꞽḫt wꜥt ḥr ḫpr ḏs f nꞽ bnrꞽw
s ꜣ r d w ḏ w,sꜣr dwḏw
ꞽ w r d i ̯ z b t n ḫ ꜣ s t ḥ b s w n n m ꞽ w š ꜥ ꞽ,ꞽw rdi̯ zbt n ḫꜣst ḥbsw n nmꞽw šꜥꞽ
ḥ t p n ꞽ,ḥtp n ꞽ
ꞽ r b n w t t p s q r m q ꜣ b t f w n n ꞽ ḫ t p w š f w s š ḥ r q ꜣ b t f m ꜥ ꞽ h f ꞽ r i ̯ n s n r y t ꞽ ḫ t d š r ḥ r q ꜣ b t f,ꞽr bnwt tp sqr m qꜣbt f wnn ꞽḫt pw šfw sš ḥr qꜣbt f m ꜥ ꞽh f ꞽri̯n sn ryt ꞽḫt dšr ḥr qꜣbt f
ḫ ꜣ i ̯ m ꞽ t t ḫ p r t n b t m n ꜣ n p r t,ḫꜣi̯ mꞽtt ḫprt nbt m nꜣ n prt
q m ꜣ w n f š ꜥ t m w s ḫ t ꜥ ꜣ t ꞽ m ꞽ t ḥ r w r,qmꜣw n f šꜥt m wsḫt ꜥꜣt ꞽmꞽt ḥr wr
z ẖ ꜣ w z m y w t,zẖꜣw zmywt
w p i ̯ t g s,wpi̯t gs
n ḏ r ꞽ n m ḏ ḥ w m ꜥ ꜣ,nḏr ꞽn mḏḥw m ꜥꜣ
ꞽ w ꜥ m n k ꞽ r t r ꜥ w n s b n k ꞽ r t b ꜣ b ꞽ,ꞽw ꜥmn k ꞽrt rꜥw nsbn k ꞽrt bꜣbꞽ
ḫ n i ̯ y ꞽ r s ꜣ w r d k,ḫni̯y ꞽ r sꜣ wrd k
w ḏ ꜣ ꞽ b k ꞽ r ꞽ w f q s n ꞽ w p p y p n n ḫ n ꞽ w p ꞽ,wḏꜣ ꞽb k ꞽr ꞽwf qs nꞽw ppy pn nḫnꞽw pꞽ
k ꜣ p s n ṯ r,kꜣp snṯr
ḏ d ꞽ n ḥ m n ꞽ n s w t b ꞽ t ꞽ ḫ w f w m ꜣ ꜥ ḫ r w,ḏdꞽn ḥm nꞽ nswt bꞽtꞽ ḫwfw mꜣꜥ ḫrw
ꜥ n ḫ t n m m ꜣ ꞽ,ꜥnḫ tn m mꜣ ꞽ
r n m ꜣ ḥ ḏ,rn mꜣ ḥḏ
h ꜣ n ꞽ t p w,hꜣ nꞽt pw
ꞽ n ḏ ḥ r k ḥ r w r n ḏ ꞽ t f m ḥ t p,ꞽnḏ ḥr k ḥr wr nḏ ꞽt f m ḥtp
r ḫ p w s n n r ḫ p r t,rḫ pw snn r ḫprt
ḥ w t n b w,ḥwt nbw
d i ̯ ꞽ m n t ꜥ s r f,di̯ ꞽmnt ꜥ s r f
ꞽ n k ꞽ m ꞽ r ʾ ḥ ḥ ḥ f n ḏ b ꜥ ḫ ꜣ š n t m ḏ b ꞽ t,ꞽnk ꞽmꞽ rʾ ḥḥ ḥfn ḏbꜥ ḫꜣ šnt mḏ bꞽt
w s ꞽ r w n ꞽ s š z p n k t p ꞽ k,wsꞽr wnꞽs šzp n k tpꞽ k
ḥ t p ḏ i ̯ n s w t ḥ t p ḏ i ̯ ꞽ n p w t p ꞽ ḏ w f,ḥtp ḏi̯ nswt ḥtp ḏi̯ ꞽnpw tpꞽ ḏw f
n ꞽ s t w n k d b ḥ t ḥ t p,nꞽs tw n k dbḥt ḥtp
ḥ t p n k g r ḥ,ḥtp n k grḥ
ḏ w ꞽ k k ꜣ k w s ꞽ r ꞽ s ḫ w i ̯ f k w m ꜥ ḏ n d n b n ꞽ m w t,ḏwꞽ k kꜣ k wsꞽr ꞽs ḫwi̯ f kw m ꜥ ḏnd nb nꞽ mwt
ḥ t p ꞽ,ḥtpꞽ
š s ꜣ w w b n w n ꞽ k f t m ꞽ n ꜥ t f,šsꜣw wbnw nꞽ kft m ꞽnꜥt f
ḥ w t ḥ r w ḫ n m s t w s ꞽ r,ḥwt ḥrw ḫnmst wsꞽr
ẖ n m w r p n,ẖnm wr pn
z p t,zpt
ꞽ w s w t m ꜣ ꜥ t r n ḥ ḥ,ꞽw swt mꜣꜥt r nḥḥ
r ḏ i ̯ n m ꜣ ṯ t ꜥ s ꞽ r n m t ꞽ m z ꜣ f m r n r ꜥ w ꞽ r t ꜥ ꜣ n t p t,rḏi̯n mꜣṯt ꜥ s ꞽr nmtꞽ m zꜣ f mrn rꜥw ꞽrt ꜥꜣ nt pt
ꞽ w t m ḥ w,ꞽwt mḥw
h ꜣ p p y,hꜣ ppy
ḥ t p ḏ i ̯ n s w t ḥ t p ḏ i ̯ z m y t ꞽ m n t ꞽ t,ḥtp ḏi̯ nswt ḥtp ḏi̯ zmyt ꞽmntꞽt
ꞽ z ꞽ n p w,ꞽz ꞽnpw
d w ꜣ t w n k n ṯ r m n ʾ t ḫ f t ḥ r q n b t t ꜣ r ḏ r f,dwꜣ tw n k nṯr m nʾt ḫft ḥr qnbt tꜣ r ḏr f
ꞽ y i ̯ n ꞽ ẖ n m w,ꞽyi̯ n ꞽ ẖnmw
š s ḥ ḥ n s p,šs ḥḥ n sp
ṯ ꜣ w p w n m ꜣ ꞽ r ḫ t f,ṯꜣw pw n mꜣꞽr ḫt f
ꞽ n k s ḥ n ṯ r ꞽ w ꜥ q w ꞽ m m ꜣ ꜥ t,ꞽnk sḥ nṯr ꞽw ꜥqw ꞽ m mꜣꜥt
w r m ḏ š m ꜥ w s b k ḥ t p m ꜣ ꜥ ḫ r w ḥ m t f n b t p r w ꜣ ḏ t m ꜣ ꜥ t ḫ r w,wr mḏ šmꜥw sbk ḥtp mꜣꜥ ḫrw ḥmt f nbt pr wꜣḏt mꜣꜥt ḫrw
n f r ḥ t p w,nfr ḥtpw
d s m ꜣ w i ̯ p w n ꞽ y k r ḥ r n f r,ds mꜣwi̯ pw n ꞽy k r ḥr nfr
ꞽ n ḫ n z w m d s n b w ḏ ꜣ d f s n n w n ꞽ s š d i ̯ f n f ꞽ m t ẖ t s n,ꞽn ḫnzw mds nbw ḏꜣd f sn n wnꞽs šdi̯ f n f ꞽmt ẖt sn
